pair_id,source_type,source_file,training_bucket,model_a,model_b,family_a,family_b,n_tensors,n_skipped,n_modules,n_svd_modules,mean_frob_norm_relative,mean_cosine_sim,mean_concentration_top_k,oq_weight,oq_weight_type,oq_naive,oq_naive_type,oq_abs_delta_naive_vs_weight,oq_rel_delta_naive_vs_weight,o_weight_n,o_bias_n,q_weight_n,q_bias_n,qkv_weight_n,qkv_bias_n,bias_asymmetry_flag,bias_leak_flag,duplicate_group,duplicate_count,duplicate_rank,is_canonical,include_in_paper
A10_gemma2_27b_instruct,full_report,A10_gemma2_27b_instruct.json,A10,google/gemma-2-27b,google/gemma-2-27b-it,Gemma,Gemma,508,0,508,323,0.113495,0.999794,0.068184,1.060136,O/Q,1.060136,O/Q,0.000000,0.000000,46,0,46,0,0,0,0,0,dup_02,2,1,1,1
A5_qwen25_32b_instruct,full_report,A5_qwen25_32b_instruct.json,A5,Qwen/Qwen2.5-32B,Qwen/Qwen2.5-32B-Instruct,Qwen,Qwen,771,0,771,450,0.007173,0.999985,0.140710,0.911400,O/Q,1.798222,O/Q,0.886823,0.973034,64,0,64,64,0,0,1,1,,1,1,1,1
B1_olmo2_7b_base_to_sft,full_report,B1_olmo2_7b_base_to_sft.json,B1,allenai/OLMo-2-1124-7B,allenai/OLMo-2-1124-7B-SFT,OLMo,OLMo,355,0,355,226,0.049122,0.999418,0.074672,0.812218,O/Q,0.812218,O/Q,0.000000,0.000000,32,0,32,0,0,0,0,0,,1,1,1,1
B2_olmo2_7b_sft_to_dpo,full_report,B2_olmo2_7b_sft_to_dpo.json,B2,allenai/OLMo-2-1124-7B-SFT,allenai/OLMo-2-1124-7B-DPO,OLMo,OLMo,355,0,355,226,0.001153,1.000000,0.214352,0.980436,O/Q,0.980436,O/Q,0.000000,0.000000,32,0,32,0,0,0,0,0,,1,1,1,1
B3_olmo2_7b_dpo_to_instruct,full_report,B3_olmo2_7b_dpo_to_instruct.json,B3,allenai/OLMo-2-1124-7B-DPO,allenai/OLMo-2-1124-7B-Instruct,OLMo,OLMo,355,0,355,226,0.000420,1.000000,0.116740,0.916829,O/Q,0.916829,O/Q,0.000000,0.000000,32,0,32,0,0,0,0,0,,1,1,1,1
B4_olmo2_13b_base_to_sft,full_report,B4_olmo2_13b_base_to_sft.json,B4,allenai/OLMo-2-1124-13B,allenai/OLMo-2-1124-13B-SFT,OLMo,OLMo,443,0,443,282,0.018319,0.999998,0.126325,0.808779,O/Q,0.808779,O/Q,0.000000,0.000000,40,0,40,0,0,0,0,0,,1,1,1,1
B5_olmo2_13b_sft_to_dpo,full_report,B5_olmo2_13b_sft_to_dpo.json,B5,allenai/OLMo-2-1124-13B-SFT,allenai/OLMo-2-1124-13B-DPO,OLMo,OLMo,443,0,443,282,0.000830,1.000000,0.250318,0.911049,O/Q,0.911049,O/Q,0.000000,0.000000,40,0,40,0,0,0,0,0,,1,1,1,1
B6_olmo2_13b_dpo_to_instruct,full_report,B6_olmo2_13b_dpo_to_instruct.json,B6,allenai/OLMo-2-1124-13B-DPO,allenai/OLMo-2-1124-13B-Instruct,OLMo,OLMo,443,0,443,282,0.000584,1.000000,0.130493,0.840788,O/Q,0.840788,O/Q,0.000000,0.000000,40,0,40,0,0,0,0,0,,1,1,1,1
C2_coder7b_to_coder7b_instruct,full_report,C2_coder7b_to_coder7b_instruct.json,C2,Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen,Qwen,283,56,283,198,0.040160,0.999501,0.145646,0.936718,O/Q,1.850083,O/Q,0.913365,0.975069,28,0,28,28,0,0,1,1,,1,1,1,1
C3_qwen25_14b_to_coder14b,full_report,C3_qwen25_14b_to_coder14b.json,C3,Qwen/Qwen2.5-14B,Qwen/Qwen2.5-Coder-14B,Qwen,Qwen,579,0,579,338,0.783617,0.646574,0.046564,0.941281,O/Q,1.589426,O/Q,0.648145,0.688578,48,0,48,48,0,0,1,1,,1,1,1,1
